"time","singleChiller.singleChiller.chillerWithHex2_1.chi.P","supplyTemp","returnTemp"
3760,636390.3896198026,291.5588048740145,291.5575476127543
3765,636390.443175996,291.5588039906904,291.5575532987308
3770,636390.4967321882,291.5588031073663,291.5575589847073
3775,636390.5502883779,291.5588022240421,291.5575646706839
3780,636390.6038445745,291.558801340718,291.5575703566603
3785,636390.6574007695,291.5588004573939,291.5575760426369
3790,636390.7109569621,291.5587995740697,291.5575817286134
3795,636390.7645131618,291.5587986907456,291.5575874145899
3800,636390.8180693602,291.5587978074215,291.5575931005665
3805,636390.8716255595,291.5587969240974,291.557598786543
3810,636390.9251817588,291.5587960407732,291.5576044725195
3815,636390.9787379599,291.5587951574491,291.5576101584961
3820,636391.0322941622,291.558794274125,291.5576158444725
3825,636391.0858503648,291.5587933908009,291.5576215304491
3830,636391.1394065691,291.5587925074768,291.5576272164256
3835,636391.1929627775,291.5587916241526,291.5576329024021
3840,636391.24651898,291.5587907408285,291.5576385883787
3845,636391.3000751876,291.5587898575044,291.5576442743552
3850,636391.3536313988,291.5587889741802,291.5576499603317
3855,636391.4071876048,291.5587880908561,291.5576556463083
3860,636391.4607438153,291.558787207532,291.5576613322847
3865,636391.5143000295,291.5587863242079,291.5576670182613
3870,636391.5678562386,291.5587854408838,291.5576727042378
3875,636391.6214124521,291.5587845575596,291.5576783902143
3880,636391.6749686694,291.5587836742355,291.5576840761909
3885,636391.7285248815,291.5587827909114,291.5576897621674
3890,636391.7820811006,291.5587819075873,291.5576954481439
3895,636391.8356373183,291.5587810242631,291.5577011341204
3900,636391.8891935338,291.558780140939,291.5577068200969
3905,636391.942749756,291.5587792576149,291.5577125060735
3910,636391.9963059766,291.5587783742907,291.55771819205
3915,636392.049862195,291.5587774909666,291.5577238780265
3920,636392.1034184205,291.5587766076425,291.5577295640031
3925,636392.1569746444,291.5587757243184,291.5577352499796
3930,636392.2105308692,291.5587748409943,291.5577409359561
3935,636392.2640870943,291.5587739576702,291.5577466219326
3940,636392.3176433214,291.558773074346,291.5577523079091
3945,636392.3711995523,291.5587721910219,291.5577579938857
3950,636392.4247557777,291.5587713076978,291.5577636798622
3955,636392.4783120076,291.5587704243736,291.5577693658387
3960,636392.5318682385,291.5587695410495,291.5577750518153
3965,636392.58542447,291.5587686577254,291.5577807377918
3970,636392.638980703,291.5587677744013,291.5577864237683
3975,636392.6925369398,291.5587668910771,291.5577921097448
3980,636392.7460931713,291.558766007753,291.5577977957213
3985,636392.7996494076,291.5587651244289,291.5578034816979
3990,636392.8532056476,291.5587642411048,291.5578091676744
3995,636392.9067618822,291.5587633577807,291.5578148536509
4000,636392.9603181215,291.5587624744566,291.5578205396275
4005,636393.0138743646,291.5587615911324,291.557826225604
4010,636393.067430602,291.5587607078083,291.5578319115805
4015,636393.1209868445,291.5587598244842,291.557837597557
4020,636393.1745430905,291.55875894116,291.5578432835335
4025,636393.2280993317,291.5587580578359,291.5578489695101
4030,636393.2816555768,291.5587571745118,291.5578546554866
4035,636393.335211826,291.5587562911876,291.5578603414631
4040,636393.38876807,291.5587554078635,291.5578660274397
4045,636393.4423243214,291.5587545245394,291.5578717134162
4050,636393.495880571,291.5587536412153,291.5578773993927
4055,636393.5494368178,291.5587527578912,291.5578830853692
4060,636393.6029930721,291.5587518745671,291.5578887713457
4065,636393.6565493247,291.5587509912429,291.5578944573223
4070,636393.710105575,291.5587501079188,291.5579001432988
4075,636393.7636618323,291.5587492245946,291.5579058292753
4080,636393.817218088,291.5587483412705,291.5579115152519
4085,636393.8707743448,291.5587474579464,291.5579172012283
4090,636393.9243306016,291.5587465746223,291.5579228872049
4095,636393.9778868603,291.5587456912982,291.5579285731814
4100,636394.03144312,291.5587448079741,291.5579342591579
4105,636394.0849993799,291.5587439246499,291.5579399451345
4110,636394.138555642,291.5587430413258,291.557945631111
