"time","singleChiller.singleChiller.mov.P","singleChiller.singleChiller.chillerWithHex2_1.chi.P","singleChiller.singleChiller.mov1.P","supplyTemp","returnTemp","storageTankWithPump.mov.P","total_power","total_energy"
5515,63366.98970562564,76549.16819301317,63467.62333495947,293.0265871332882,298.0223897986612,-7.147265717036618e-158,203383.7812335983,1219071585.362077
5520,63366.98970562564,76549.16735500959,63467.62333495947,293.0265871332862,298.0223900177485,-7.107269193168908e-158,203383.7803955947,1220088504.26615
5525,63366.98970562564,76549.1665170052,63467.62333495947,293.0265871332843,298.0223902368359,-7.067422163618222e-158,203383.7795575903,1221105423.166033
5530,63366.98970562564,76549.16567900115,63467.62333495947,293.0265871332823,298.0223904559232,-7.027724348479963e-158,203383.7787195863,1222122342.061726
5535,63366.98970562564,76549.16484099714,63467.62333495947,293.0265871332803,298.0223906750105,-6.988175467849552e-158,203383.7778815822,1223139260.953229
5540,63366.98970562564,76549.16400299438,63467.62333495947,293.0265871332783,298.0223908940978,-6.94877524182239e-158,203383.7770435795,1224156179.840542
5545,63366.98970562564,76549.16316499037,63467.62333495947,293.0265871332764,298.0223911131852,-6.909523390493901e-158,203383.7762055755,1225173098.723665
5550,63366.98970562564,76549.16232698553,63467.62333495947,293.0265871332744,298.0223913322725,-6.870419633959485e-158,203383.7753675706,1226190017.602597
5555,63366.98970562564,76549.16148898116,63467.62333495947,293.0265871332724,298.0223915513598,-6.831463692314565e-158,203383.7745295663,1227206936.47734
5560,63366.98970562564,76549.160650978,63467.62333495947,293.0265871332705,298.0223917704471,-6.792655285654541e-158,203383.7736915631,1228223855.347893
5565,63366.98970562564,76549.15981297444,63467.62333495947,293.0265871332685,298.0223919895345,-6.753994134074835e-158,203383.7728535596,1229240774.214256
5570,63366.98970562564,76549.15897497087,63467.62333495947,293.0265871332665,298.0223922086218,-6.715479957670853e-158,203383.772015556,1230257693.076429
5575,63366.98970562564,76549.15813696563,63467.62333495947,293.0265871332645,298.0223924277091,-6.677112476538011e-158,203383.7711775507,1231274611.934412
5580,63366.98970562564,76549.15729896251,63467.62333495947,293.0265871332626,298.0223926467964,-6.638891410771718e-158,203383.7703395476,1232291530.788204
5585,63366.98970562564,76549.15646095894,63467.62333495947,293.0265871332606,298.0223928658838,-6.600816480467386e-158,203383.769501544,1233308449.637807
5590,63366.98970562564,76549.15562295498,63467.62333495947,293.0265871332586,298.0223930849711,-6.562887405720427e-158,203383.7686635401,1234325368.48322
5595,63366.98970562564,76549.15478495104,63467.62333495947,293.0265871332567,298.0223933040584,-6.525103906626254e-158,203383.7678255361,1235342287.324442
5600,63366.98970562564,76549.1539469471,63467.62333495947,293.0265871332547,298.0223935231458,-6.487465703280278e-158,203383.7669875322,1236359206.161475
5605,63366.98970562564,76549.15310894354,63467.62333495947,293.0265871332527,298.0223937422331,-6.449972515777911e-158,203383.7661495286,1237376124.994318
5610,63366.98970562564,76549.15227093917,63467.62333495947,293.0265871332507,298.0223939613204,-6.412624064214564e-158,203383.7653115243,1238393043.82297
5615,63366.98970562564,76549.15143293524,63467.62333495947,293.0265871332488,298.0223941804077,-6.37542006868565e-158,203383.7644735203,1239409962.647433
5620,63366.98970562564,76549.15059493172,63467.62333495947,293.0265871332468,298.0223943994951,-6.338360249286579e-158,203383.7636355168,1240426881.467705
5625,63366.98970562564,76549.1497569278,63467.62333495947,293.0265871332448,298.0223946185824,-6.301444326112767e-158,203383.7627975129,1241443800.283788
5630,63366.98970562564,76549.14891892341,63467.62333495947,293.0265871332428,298.0223948376697,-6.264672019259621e-158,203383.7619595085,1242460719.09568
5635,63366.98970562564,76549.14808092122,63467.62333495947,293.0265871332409,298.022395056757,-6.228043048822555e-158,203383.7611215063,1243477637.903383
5640,63366.98970562564,76549.14724291649,63467.62333495947,293.0265871332389,298.0223952758444,-6.191557134896981e-158,203383.7602835016,1244494556.706896
5645,63366.98970562564,76549.14640491252,63467.62333495947,293.0265871332369,298.0223954949317,-6.155213997578311e-158,203383.7594454976,1245511475.506218
5650,63366.98970562564,76549.14556690905,63467.62333495947,293.026587133235,298.022395714019,-6.119013356961956e-158,203383.7586074942,1246528394.301351
5655,63366.98970562564,76549.14472890469,63467.62333495947,293.026587133233,298.0223959331063,-6.082954933143328e-158,203383.7577694898,1247545313.092293
5660,63366.98970562564,76549.14389090163,63467.62333495947,293.026587133231,298.0223961521937,-6.047038446217839e-158,203383.7569314867,1248562231.879045
5665,63366.98970562564,76549.14305289774,63467.62333495947,293.026587133229,298.022396371281,-6.011263616280899e-158,203383.7560934828,1249579150.661608
5670,63366.98970562564,76549.14221489304,63467.62333495947,293.0265871332271,298.0223965903684,-5.975630163427928e-158,203383.7552554781,1250596069.43998
5675,63366.98970562564,76549.14137688956,63467.62333495947,293.0265871332251,298.0223968094557,-5.940137807754325e-158,203383.7544174747,1251612988.214163
5680,63366.98970562564,76549.14053888523,63467.62333495947,293.0265871332231,298.022397028543,-5.904786269355514e-158,203383.7535794703,1252629906.984155
5685,63366.98970562564,76549.13970088257,63467.62333495947,293.0265871332211,298.0223972476304,-5.869575268326896e-158,203383.7527414677,1253646825.749957
5690,63366.98970562564,76549.1388628783,63467.62333495947,293.0265871332192,298.0223974667177,-5.834504524763894e-158,203383.7519034634,1254663744.51157
5695,63366.98970562564,76549.13802487569,63467.62333495947,293.0265871332172,298.022397685805,-5.799573758761907e-158,203383.7510654608,1255680663.268992
5700,63366.98970562564,76549.13718687097,63467.62333495947,293.0265871332152,298.0223979048923,-5.764782690416361e-158,203383.7502274561,1256697582.022224
5705,63366.98970562564,76549.13634886754,63467.62333495947,293.0265871332132,298.0223981239797,-5.730131039822655e-158,203383.7493894527,1257714500.771266
5710,63366.98970562564,76549.13551086407,63467.62333495947,293.0265871332113,298.022398343067,-5.695618527076211e-158,203383.7485514492,1258731419.516119
